order,h,ndof,err,time,type
1,0.6310973244891189,112,0.2481637556851653,0.05611419677734375,neumann
1,0.45527248178660157,206,0.18859938941426696,0.08504295349121094,neumann
1,0.36417290837448923,456,0.12303106770724254,0.31920409202575684,neumann
1,0.2579123177677734,822,0.08939218100974258,0.5227921009063721,neumann
1,0.19706225497049576,1250,0.06961500469881472,0.788546085357666,neumann
1,0.1867244496792766,1796,0.057094946341179564,1.475127935409546,neumann
2,0.6310973244891189,336,0.04691495010757971,0.21144390106201172,neumann
2,0.45527248178660157,618,0.03144945028083036,0.43442201614379883,neumann
2,0.36417290837448923,1368,0.016316196433663503,1.0360360145568848,neumann
2,0.2579123177677734,2466,0.009299513539702365,1.8326830863952637,neumann
2,0.19706225497049576,3750,0.006275772441931581,2.5656681060791016,neumann
2,0.1867244496792766,5388,0.004386775649980788,4.18678617477417,neumann
3,0.6310973244891189,672,0.009004308145825719,0.4980459213256836,neumann
3,0.45527248178660157,1236,0.004280449399750852,0.906980037689209,neumann
3,0.36417290837448923,2736,0.0013687035555959924,2.2653968334198,neumann
3,0.2579123177677734,4932,0.0005600183151091338,3.897608995437622,neumann
3,0.19706225497049576,7500,0.0002874758563562004,6.725748062133789,neumann
3,0.1867244496792766,10776,0.0001633699572374874,9.149832248687744,neumann
4,0.6310973244891189,1120,0.0012633892681457538,1.0003738403320312,neumann
4,0.45527248178660157,2060,0.0004236355207853774,1.9745397567749023,neumann
4,0.36417290837448923,4560,9.76347118295302e-05,4.455018997192383,neumann
4,0.2579123177677734,8220,3.22160089982405e-05,8.358377933502197,neumann
4,0.19706225497049576,12500,1.4033826900782921e-05,12.8213369846344,neumann
4,0.1867244496792766,17960,7.284081492496658e-06,17.860952854156494,neumann
1,0.6310973244891189,336,0.12651574873415675,0.15212011337280273,dirichlet_semi
1,0.45527248178660157,618,0.10444199605681773,0.44373202323913574,dirichlet_semi
1,0.36417290837448923,1368,0.05693185710772132,0.8413400650024414,dirichlet_semi
1,0.2579123177677734,2466,0.03308638510878605,1.8942499160766602,dirichlet_semi
1,0.19706225497049576,3750,0.02303104069988195,2.632164716720581,dirichlet_semi
1,0.1867244496792766,5388,0.016566683674165892,3.8808891773223877,dirichlet_semi
2,0.6310973244891189,672,0.042154523044912115,0.600902795791626,dirichlet_semi
2,0.45527248178660157,1236,0.020804950902199627,0.9609110355377197,dirichlet_semi
2,0.36417290837448923,2736,0.00796675667092898,2.6637821197509766,dirichlet_semi
2,0.2579123177677734,4932,0.003758149991851835,4.5921080112457275,dirichlet_semi
2,0.19706225497049576,7500,0.0021838181282458837,7.635169982910156,dirichlet_semi
2,0.1867244496792766,10776,0.0013388932831805754,13.475805044174194,dirichlet_semi
3,0.6310973244891189,1120,0.011846329189564683,1.3685698509216309,dirichlet_semi
3,0.45527248178660157,2060,0.006063053528052317,2.8166518211364746,dirichlet_semi
3,0.36417290837448923,4560,0.0019682385793192455,6.683840036392212,dirichlet_semi
3,0.2579123177677734,8220,0.0008003669975561442,13.33591914176941,dirichlet_semi
3,0.19706225497049576,12500,0.0004212588468046026,22.131097316741943,dirichlet_semi
3,0.1867244496792766,17960,0.0002391021843239055,30.9675190448761,dirichlet_semi
4,0.6310973244891189,1680,0.004243104566398908,3.275563955307007,dirichlet_semi
4,0.45527248178660157,3090,0.0013847070641322145,6.679511070251465,dirichlet_semi
4,0.36417290837448923,6840,0.00021820675266513918,15.125797986984253,dirichlet_semi
4,0.2579123177677734,12330,6.473466242599349e-05,29.4275221824646,dirichlet_semi
4,0.19706225497049576,18750,2.6735325005268822e-05,45.75167512893677,dirichlet_semi
4,0.1867244496792766,26940,1.2179370351526871e-05,68.52073907852173,dirichlet_semi
1,0.15777433112507205,336,0.20036269989697097,1.3752989768981934,mie
1,0.13343674073582132,564,0.12032490401642341,4.107014894485474,mie
1,0.08967833419523506,1188,0.056810646428243315,8.914435148239136,mie
1,0.07516827480887657,2166,0.030778839022657805,22.408597946166992,mie
1,0.06358696485667435,3318,0.0203997433334311,38.90666222572327,mie
1,0.047571330498315745,4812,0.013872321070012314,57.15798878669739,mie
2,0.15777433112507205,840,0.034788104443637086,5.894718885421753,mie
2,0.13343674073582132,1410,0.017536374040223842,10.18861699104309,mie
2,0.08967833419523506,2970,0.005562747800151162,29.855939149856567,mie
2,0.07516827480887657,5415,0.002309332300999018,58.42411184310913,mie
2,0.06358696485667435,8295,0.001232953348232609,102.30533003807068,mie
2,0.047571330498315745,12030,0.0006845511986194403,189.20997405052185,mie
3,0.15777433112507205,1568,0.002507969402260986,13.066062927246094,mie
3,0.13343674073582132,2632,0.0009017142527615605,26.81648588180542,mie
3,0.08967833419523506,5544,0.0002018872350004136,63.07677912712097,mie
3,0.07516827480887657,10108,5.9622066759839674e-05,125.94020414352417,mie
3,0.06358696485667435,15484,2.437087492316899e-05,215.42664194107056,mie
3,0.047571330498315745,22456,1.1276841618204156e-05,311.72158789634705,mie
4,0.15777433112507205,2520,0.0009075304975423917,29.966848850250244,mie
4,0.13343674073582132,4230,0.0002698637853223768,57.237616777420044,mie
4,0.08967833419523506,8910,4.084318365998116e-05,127.92679214477539,mie
4,0.07516827480887657,16245,9.503160686973193e-06,265.57850217819214,mie
4,0.06358696485667435,24885,3.6672911727171025e-06,424.3209660053253,mie
4,0.047571330498315745,36090,1.207125797965485e-06,611.2749152183533,mie
