p,level,h,N,ndof_Pi1,ndof_Pi0,err_geo,CF_geo,alpha_geo,err_geo_density,CF_geo_density,alpha_geo_density,err_int_1,CF_int_1,alpha_int_1,err_tot_1,CF_tot_1,alpha_tot_1,err_int_0,CF_int_0,alpha_int_0,err_tot_0,CF_tot_0,alpha_tot_0
1,0,0.5,112,58,112,0.03258859505467447,nan,nan,0.15607553684830536,nan,nan,0.1244969789468586,nan,nan,0.1740778610068786,nan,nan,0.3099301622614852,nan,nan,0.33707215275206465,nan,nan
1,1,0.25,448,226,448,0.008556112654710919,3.8088085524132835,1.9293397734813633,0.04235490180399967,3.68494625652908,1.8816435783422214,0.030343216701019207,4.102959161303318,2.036664794474563,0.04695840482779813,3.707065042887256,1.8902774284097443,0.15413474447136472,2.010774165970504,1.0077510588039336,0.15877344481447372,2.1229756219368574,1.086087804916051
1,2,0.125,1792,898,1792,0.0021655967367540285,3.9509260932557146,1.982190859251363,0.01081509402601955,3.9162767981581954,1.969482736651907,0.007532376610501636,4.028372221685611,2.010196994558616,0.011968499275679756,3.9234998261827703,1.9721411362872798,0.0769474015491693,2.0031182517953225,1.0022475915165534,0.07757665050425941,2.0466653791111558,1.0332752472763174
1,3,0.0625,7168,3586,7168,0.0005430758043291589,3.9876509310318267,1.9955391253553134,0.0027182274875807637,3.97873028487584,1.9923081031380232,0.0018797522053603552,4.007111463426985,2.002562640913404,0.003006765552689247,3.980522945985977,1.9929579790151453,0.038457833829804694,2.0008251606083785,1.000595104803002,0.03853814072722336,2.0129837361214267,1.0093355160686164
1,4,0.03125,28672,14338,28672,0.0001358739924278188,3.9969076835484945,1.9988842512610254,0.0006804651014142636,3.9946611250617554,1.998073121694132,0.0004697291323149516,4.0017790595538125,2.000641517447288,0.0007526117359152284,3.9951085124028927,1.9982346891806497,0.019226906168088035,2.000209159684531,1.0001508689310263,0.019236997014920546,2.003334548387803,1.0024033652332045
2,0,0.5,112,226,336,0.000684044067571206,nan,nan,0.0038330769665082475,nan,nan,0.015125441837573424,nan,nan,0.016407380487717733,nan,nan,0.08482297909442894,nan,nan,0.08508724190364325,nan,nan
2,1,0.25,448,898,1344,4.435947329982489e-05,15.420473163596068,3.946775128642288,0.00024793465965274443,15.460028750626591,3.9504710970962957,0.002015027982624592,7.506318506739743,2.908105507696898,0.002060685773026797,7.962097231164983,2.9931484893723717,0.021714825306712683,3.9062243373520347,1.9657748066469647,0.02174144293976309,3.9135968178094815,1.968495135906508
2,2,0.125,1792,3586,5376,2.7974519209463115e-06,15.857099443846431,3.98705699451203,1.562229707543099e-05,15.87056362170122,3.9882814593424,0.00025633223752111526,7.861001027850056,2.9747130384329434,0.00025781170044264214,7.992987787167006,2.998734884880459,0.005461913312564675,3.9756810597413805,1.9912020245094657,0.0054637550804699985,3.979212578081532,1.9924829729577593
2,3,0.0625,7168,14338,21504,1.752304453992002e-07,15.96441711126918,3.9967879734431557,9.783487551436269e-07,15.968024687819584,3.997113951196676,3.218073236120739e-05,7.9653947785884975,2.993745865956213,3.2227392271992803e-05,7.999769210824211,2.9999583795997258,0.0013676216565831146,3.9937312240366225,1.9977372434485703,0.0013677395966663673,3.994733422785282,1.9980992322001478
2,4,0.03125,28672,57346,86016,1.0957988975335105e-08,15.991113496611408,3.9991984952508344,6.117726632334704e-08,15.992031255085033,3.9992812917118625,4.026941400872671e-06,7.991358492138367,2.998440775152725,4.028402886689923e-06,8.000041996413511,3.0000075734823097,0.0003420404125084659,3.9984212583338063,1.9994304769082105,0.00034204782815344995,3.998679377823063,1.9995236075874852
